Month and year;First cluster;Second cluster;Third cluster;Fourth cluster
03-2020;[Spain, Germany, Italy, France];[United Kingdom, Iran, Turkey, Belgium, Switzerland, Netherlands];[Austria, Portugal, Brazil, Israel, Quebec, Ireland, Sweden, Czechia, Chile, Russia, Norway, Philippines, Romania, Poland, Ecuador, Ontario, Luxembourg, Malaysia, New South Wales, Pakistan, Denmark, Thailand, Saudi Arabia, Indonesia, India, Dominican Republic, Panama, South Africa, Mexico, Argentina, Finland, Peru, Serbia, Colombia, Victoria, Greece, Croatia, Ukraine];[US]
05-2020;[India, Chile, Saudi Arabia, Peru, Qatar, Iran, Mexico, Kuwait];[South Africa, Bangladesh, Russia, Colombia, United Arab Emirates, Oman, Pakistan, Argentina];[Afghanistan, Indonesia, Bahrain, Tajikistan, Bolivia, Egypt, Belarus, Sweden, Moldova, Armenia, Azerbaijan, Guatemala, Sudan, Zambia, Gabon, Haiti, Poland, Congo (Kinshasa), El Salvador, Iraq, Djibouti, Algeria, Central African Republic, Portugal, Senegal, South Sudan, Guinea, Venezuela, Togo, Nepal, Mongolia, Sierra Leone];[Brazil]
02-2020;[Italy, Iran];[Japan, France, Germany];[Spain, Kuwait, Diamond Princess, US, Bahrain, Switzerland, Norway, Iraq, Sweden, United Kingdom, Austria, Taiwan*, Ontario, United Arab Emirates, Israel, Netherlands, Croatia, Oman, Mexico, Pakistan, Hong Kong, Greece, Lebanon, Denmark, Queensland, Romania, Victoria, Western Australia, Brazil, Finland, Ireland, Luxembourg, Monaco, Qatar, Belarus, Quebec, Iceland, Lithuania, New Zealand, Nigeria, Estonia, San Marino, Georgia];[Korea South]
01-2020;[Zhejiang, Guangdong, Henan, Hunan, Jiangxi];[Anhui, Jiangsu, Sichuan, Shandong, Chongqing, Hebei, Shanghai, Fujian, Shaanxi, Yunnan];[Heilongjiang, Guizhou, Guangxi, Shanxi, Beijing, Ningxia, Gansu, Liaoning, Japan, Korea South, Xinjiang, Singapore, Hainan, Inner Mongolia, Jilin, Thailand, United Arab Emirates, Queensland, Germany, Italy, Russia, United Kingdom, Ontario, Qinghai, Victoria, Malaysia, Sweden, Tibet, India, Philippines, Taiwan*, Finland, British Columbia];[Hubei]
04-2020;[Peru, Saudi Arabia, India, Ecuador];[Mexico, Singapore, Belarus, Qatar, Pakistan, Bangladesh];[Ukraine, United Arab Emirates, Chile, South Africa, Alberta, Kuwait, Indonesia, Quebec, Sweden, Egypt, Colombia, Nigeria, Kazakhstan, Ghana, Ontario, Afghanistan, Dominican Republic, Guinea, Oman, Bahrain, United Kingdom, Argentina, Panama, Morocco, Maldives, Senegal, Bolivia, Somalia, Sudan, Bulgaria, Sri Lanka, Armenia, Tanzania, Algeria, Moldova, Serbia, Guatemala];[Russia, Brazil]
